"id","text"
1,"Talking to some great journos this morning all about @Hirsty148!  🐑 😴 @ Metropolitan by COMO,… https://t.co/6UymMuUEpR"
2,"Incident (Severe delay) M6 northbound between J10 and J10A Status : Currently Active. \nTime To Clear : ... https://t.co/4KEpk935PI #beepbeep"
3,"THIS: “@Colmogorman: Great piece by @amcteirnan : Still waiting after 30 years for a Census that includes me https://t.co/UVs87t6LZs  #2016”"
4,"A Little snippet from my #SundayJazzCongregation @pineappledance ... Great to have nimamyri in… https://t.co/V2ybjZOSjF"
